"","V1","V2","V3","V4","V5","V6","V7","V8"
"70",1063.280029,1073.02002,1081.900024,1078.410034,1088.23999,1102.329956,1094.119995,1093.119995
"71",1073.02002,1081.900024,1078.410034,1088.23999,1102.329956,1094.119995,1093.119995,1071.22998
"72",1081.900024,1078.410034,1088.23999,1102.329956,1094.119995,1093.119995,1071.22998,1075.130005
"73",1078.410034,1088.23999,1102.329956,1094.119995,1093.119995,1071.22998,1075.130005,1083.449951
"74",1088.23999,1102.329956,1094.119995,1093.119995,1071.22998,1075.130005,1083.449951,1075.76001
"75",1102.329956,1094.119995,1093.119995,1071.22998,1075.130005,1083.449951,1075.76001,1067.5
"76",1094.119995,1093.119995,1071.22998,1075.130005,1083.449951,1075.76001,1067.5,1067.060059
"77",1093.119995,1071.22998,1075.130005,1083.449951,1075.76001,1067.5,1067.060059,1066.819946
"78",1071.22998,1075.130005,1083.449951,1075.76001,1067.5,1067.060059,1066.819946,1053.709961
"79",1075.130005,1083.449951,1075.76001,1067.5,1067.060059,1066.819946,1053.709961,1054.300049
"80",1083.449951,1075.76001,1067.5,1067.060059,1066.819946,1053.709961,1054.300049,1058.25
"81",1075.76001,1067.5,1067.060059,1066.819946,1053.709961,1054.300049,1058.25,1049.170044
"82",1067.5,1067.060059,1066.819946,1053.709961,1054.300049,1058.25,1049.170044,1052.839966
"83",1067.060059,1066.819946,1053.709961,1054.300049,1058.25,1049.170044,1052.839966,1040.949951
"84",1066.819946,1053.709961,1054.300049,1058.25,1049.170044,1052.839966,1040.949951,1047.390015
"85",1053.709961,1054.300049,1058.25,1049.170044,1052.839966,1040.949951,1047.390015,1044.660034
"86",1054.300049,1058.25,1049.170044,1052.839966,1040.949951,1047.390015,1044.660034,1037.23999
"87",1058.25,1049.170044,1052.839966,1040.949951,1047.390015,1044.660034,1037.23999,1023.619995
"88",1049.170044,1052.839966,1040.949951,1047.390015,1044.660034,1037.23999,1023.619995,1010.150024
"89",1052.839966,1040.949951,1047.390015,1044.660034,1037.23999,1023.619995,1010.150024,994.349976
"90",1040.949951,1047.390015,1044.660034,1037.23999,1023.619995,1010.150024,994.349976,994.349976
"91",1047.390015,1044.660034,1037.23999,1023.619995,1010.150024,994.349976,994.349976,1006.969971
"92",1044.660034,1037.23999,1023.619995,1010.150024,994.349976,994.349976,1006.969971,1049.589966
"93",1037.23999,1023.619995,1010.150024,994.349976,994.349976,1006.969971,1049.589966,1046.359985
"94",1023.619995,1010.150024,994.349976,994.349976,1006.969971,1049.589966,1046.359985,1043.199951
"95",1010.150024,994.349976,994.349976,1006.969971,1049.589966,1046.359985,1043.199951,1020.320007
"96",994.349976,994.349976,1006.969971,1049.589966,1046.359985,1043.199951,1020.320007,1031.329956
"97",994.349976,1006.969971,1049.589966,1046.359985,1043.199951,1020.320007,1031.329956,1031.329956
"98",1006.969971,1049.589966,1046.359985,1043.199951,1020.320007,1031.329956,1031.329956,1031.920044
"99",1049.589966,1046.359985,1043.199951,1020.320007,1031.329956,1031.329956,1031.920044,1043.609985
"100",1046.359985,1043.199951,1020.320007,1031.329956,1031.329956,1031.920044,1043.609985,1046.619995
"101",1043.199951,1020.320007,1031.329956,1031.329956,1031.920044,1043.609985,1046.619995,1054.920044
"102",1020.320007,1031.329956,1031.329956,1031.920044,1043.609985,1046.619995,1054.920044,1064.609985
"103",1031.329956,1031.329956,1031.920044,1043.609985,1046.619995,1054.920044,1064.609985,1075.660034
"104",1031.329956,1031.920044,1043.609985,1046.619995,1054.920044,1064.609985,1075.660034,1095.430054
"105",1031.920044,1043.609985,1046.619995,1054.920044,1064.609985,1075.660034,1095.430054,1095.430054
"106",1043.609985,1046.619995,1054.920044,1064.609985,1075.660034,1095.430054,1095.430054,1102.030029
"107",1046.619995,1054.920044,1064.609985,1075.660034,1095.430054,1095.430054,1102.030029,1105.910034
"108",1054.920044,1064.609985,1075.660034,1095.430054,1095.430054,1102.030029,1105.910034,1101.130005
"109",1064.609985,1075.660034,1095.430054,1095.430054,1102.030029,1105.910034,1101.130005,1097.670044
"110",1075.660034,1095.430054,1095.430054,1102.030029,1105.910034,1101.130005,1097.670044,1125.660034
"111",1095.430054,1095.430054,1102.030029,1105.910034,1101.130005,1097.670044,1125.660034,1115.780029
"112",1095.430054,1102.030029,1105.910034,1101.130005,1097.670044,1125.660034,1115.780029,1122.26001
"113",1102.030029,1105.910034,1101.130005,1097.670044,1125.660034,1115.780029,1122.26001,1117.839966
"114",1105.910034,1101.130005,1097.670044,1125.660034,1115.780029,1122.26001,1117.839966,1134.02002
"115",1101.130005,1097.670044,1125.660034,1115.780029,1122.26001,1117.839966,1134.02002,1124.140015
"116",1097.670044,1125.660034,1115.780029,1122.26001,1117.839966,1134.02002,1124.140015,1124.140015
"117",1125.660034,1115.780029,1122.26001,1117.839966,1134.02002,1124.140015,1124.140015,1104.699951
"118",1115.780029,1122.26001,1117.839966,1134.02002,1124.140015,1124.140015,1104.699951,1119.560059
"119",1122.26001,1117.839966,1134.02002,1124.140015,1124.140015,1104.699951,1119.560059,1137.22998
"120",1117.839966,1134.02002,1124.140015,1124.140015,1104.699951,1119.560059,1137.22998,1135.77002
"121",1134.02002,1124.140015,1124.140015,1104.699951,1119.560059,1137.22998,1135.77002,1131.189941
"122",1124.140015,1124.140015,1104.699951,1119.560059,1137.22998,1135.77002,1131.189941,1138.839966
"123",1124.140015,1104.699951,1119.560059,1137.22998,1135.77002,1131.189941,1138.839966,1124.72998
"124",1104.699951,1119.560059,1137.22998,1135.77002,1131.189941,1138.839966,1124.72998,1133.52002
"125",1119.560059,1137.22998,1135.77002,1131.189941,1138.839966,1124.72998,1133.52002,1133.810059
"126",1137.22998,1135.77002,1131.189941,1138.839966,1124.72998,1133.52002,1133.810059,1153.680054
